,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因
0,000017,深中华A,2025-11-20,主力做T，成功率45.37%,8.39,9.9607,10137295.77,119513920.77,109376625.0,228890545.77,860627492,1.177895879952,26.59577435042,11.5782,4205156652.17,连续三个交易日内，涨幅偏离值累计达到20%的证券
1,000407,胜利股份,2025-11-20,主力做T，成功率30.51%,5.97,-0.995,-98360052.03,87015485.94,185375537.97,272391023.91,1634085405,-6.019272415569,16.669326038684,33.3105,5228419805.64,日振幅值达到15%的前5只证券
2,000536,华映科技,2025-11-20,主力做T，成功率37.86%,5.62,9.9804,100148808.01,214252193.85,114103385.84,328355579.69,1218738088,8.217418409754,26.94225961452,8.1218,15528523739.92,日涨幅偏离值达到7%的前5只证券
3,000546,金圆股份,2025-11-20,1家机构卖出，成功率24.19%,7.2,-5.2632,-37302604.0,149442633.0,186745237.0,336187870.0,2130706136,-1.750715566532,15.778237285745,38.5098,5016277483.2,日换手率达到20%的前5只证券
4,000547,航天发展,2025-11-20,2家机构买入，成功率44.35%,13.78,9.9761,-116112005.53,624008065.45,740120070.98,1364128136.43,8763126819,-1.325006563619,15.566682584946,42.5953,21887472590.88,日换手率达到20%的前5只证券
5,000547,航天发展,2025-11-20,2家机构买入，成功率44.35%,13.78,9.9761,-116112005.53,624008065.45,740120070.98,1364128136.43,8763126819,-1.325006563619,15.566682584946,42.5953,21887472590.88,日涨幅偏离值达到7%的前5只证券
6,000566,海南海药,2025-11-20,2家机构买入，成功率48.17%,7.92,10.0,120834236.0,237377186.52,116542950.52,353920137.04,1634435705,7.393024738162,21.65396509372,18.762,9233886285.36,日涨幅偏离值达到7%的前5只证券
7,000609,ST中迪,2025-11-20,西藏自治区资金买入，成功率37.53%,12.4,4.9958,-2632607.0,48265185.0,50897792.0,99162977.0,316476183,-0.831849959464,31.3334722569,8.3258,3609122572.8,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
8,000620,盈新发展,2025-11-20,1家机构卖出，成功率15.90%,3.24,-10.0,-89333831.81,160886046.01,250219877.82,411105923.83,1772636627,-5.03960205094,23.19177645143,11.3788,15136466160.6,日跌幅偏离值达到7%的前5只证券
9,000632,三木集团,2025-11-20,1家机构买入，成功率35.47%,7.45,5.0776,73757807.43,212476392.5,138718585.07,351194977.57,1644183020,4.485985229917,21.359847005962,49.6777,3467837964.7,日振幅值达到15%的前5只证券
10,000632,三木集团,2025-11-20,1家机构买入，成功率35.47%,7.45,5.0776,73757807.43,212476392.5,138718585.07,351194977.57,1644183020,4.485985229917,21.359847005962,49.6777,3467837964.7,日换手率达到20%的前5只证券
11,000663,永安林业,2025-11-20,买一主买，成功率54.50%,9.8,9.9888,109091925.13,254039954.13,144948029.0,398987983.13,1319779773,8.265918857206,30.231406124907,31.5192,3001751720.8,连续三个交易日内，涨幅偏离值累计达到20%的证券
12,000663,永安林业,2025-11-20,2家机构买入，成功率30.80%,9.8,9.9888,-28444229.0,123215496.0,151659725.0,274875221.0,878322389,-3.238472496686,31.295481527342,31.5192,3001751720.8,日振幅值达到15%的前5只证券
13,000859,国风新材,2025-11-20,普通席位买入，成功率49.04%,7.89,10.0418,61218129.76,195495831.5,134277701.74,329773533.24,1064749511,5.749533493798,30.971935636794,8.1752,7068850388.19,连续三个交易日内，涨幅偏离值累计达到20%的证券
14,001216,华瓷股份,2025-11-20,广东资金卖出，成功率14.28%,20.4,-10.0132,-13596284.0,45810978.0,59407262.0,105218240.0,249047174,-5.459320730939,42.248317180262,4.7339,5012003559.6,日跌幅偏离值达到7%的前5只证券
15,001390,古麒绒材,2025-11-20,1家机构买入，成功率23.42%,32.96,10.0134,-11487503.46,144728347.59,156215851.05,300944198.64,1509907627,-0.760808360365,19.931298660829,58.8067,1615001997.12,连续三个交易日内，涨幅偏离值累计达到20%的证券
16,001390,古麒绒材,2025-11-20,1家机构买入，成功率36.87%,32.96,10.0134,-56137530.42,78824856.63,134962387.05,213787243.68,896654721,-6.260774532854,23.842761173618,58.8067,1615001997.12,日换手率达到20%的前5只证券
17,002213,大为股份,2025-11-20,2家机构买入，成功率39.99%,36.64,9.997,-78973322.0,219038789.0,298012111.0,517050900.0,1961164273,-4.026859100344,26.364487010008,26.9093,7573244124.16,日涨幅偏离值达到7%的前5只证券
18,002407,多氟多,2025-11-20,1家机构卖出，成功率20.92%,34.22,-9.9947,-303966248.74,680660392.84,984626641.58,1665287034.42,8117846544,-3.744419743493,20.513901382514,20.6413,36976449265.72,日跌幅偏离值达到7%的前5只证券
19,002451,摩恩电气,2025-11-20,西藏自治区资金卖出，成功率6.39%,11.13,-4.3814,-31527538.93,197441500.36,228969039.29,426410539.65,3285396870,-0.959626498031,12.978965906484,22.8818,4887728370.0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20,002474,榕基软件,2025-11-20,普通席位买入，成功率51.06%,11.32,10.0097,-20477747.85,174986376.59,195464124.44,370450501.03,1528047731,-1.340124881871,24.243385433226,10.5686,6008270497.4,连续三个交易日内，涨幅偏离值累计达到20%的证券
21,002682,龙洲股份,2025-11-20,4家机构卖出，成功率36.27%,6.35,-10.0567,-80132078.25,79330936.0,159463014.25,238793950.25,965385335,-8.300527814626,24.735609874372,26.8868,3570987231.9,日跌幅偏离值达到7%的前5只证券
22,002836,新宏泽,2025-11-20,3家机构买入，成功率41.83%,16.08,9.9863,-18933242.16,148415351.02,167348593.18,315763944.2,939552881,-2.015133213135,33.607894838652,9.5304,3704832000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
23,002877,智能自控,2025-11-20,普通席位买入，成功率4.48%,12.0,9.9908,33617618.28,137178669.01,103561050.73,240739719.74,1147870226,2.928695031767,20.972729694271,44.4774,2886175824.0,日涨幅偏离值达到7%的前5只证券
24,002877,智能自控,2025-11-20,普通席位买入，成功率4.48%,12.0,9.9908,33617618.28,137178669.01,103561050.73,240739719.74,1147870226,2.928695031767,20.972729694271,44.4774,2886175824.0,日换手率达到20%的前5只证券
25,002877,智能自控,2025-11-20,普通席位买入，成功率4.48%,12.0,9.9908,33617618.28,137178669.01,103561050.73,240739719.74,1147870226,2.928695031767,20.972729694271,44.4774,2886175824.0,日振幅值达到15%的前5只证券
26,002927,泰永长征,2025-11-20,3家机构卖出，成功率50.32%,19.11,-9.9859,-36174276.46,98456786.4,134631062.86,233087849.26,730264517,-4.95358539514,31.918276711232,16.7867,4218299969.52,日跌幅偏离值达到7%的前5只证券
27,002927,泰永长征,2025-11-20,3家机构卖出，成功率50.32%,19.11,-9.9859,-36174276.46,98456786.4,134631062.86,233087849.26,730264517,-4.95358539514,31.918276711232,16.7867,4218299969.52,日振幅值达到15%的前5只证券
28,300094,国联水产,2025-11-20,主力做T，成功率31.27%,4.76,-11.5242,-167046968.88,142869418.77,309916387.65,452785806.42,2515963981,-6.639481731118,17.996513854703,43.6565,5262262819.24,日换手率达到30%的前5只证券
29,300250,初灵信息,2025-11-20,4家机构买入，成功率26.73%,32.1,7.7181,13212208.74,224973085.4,211760876.66,436733962.06,2089276046,0.632382148127,20.903602608959,42.6604,5061336908.7,日换手率达到30%的前5只证券
30,300379,*ST东通,2025-11-20,西藏自治区资金买入，成功率20.61%,2.89,19.917,2171881.6,29587592.0,27415710.4,57003302.4,458204327,0.473998491944,12.440585791325,31.7455,1521982559.96,日涨幅达到15%的前5只证券
31,300379,*ST东通,2025-11-20,西藏自治区资金买入，成功率30.96%,2.89,19.917,-3335753.64,50345248.0,53681001.64,104026249.64,800553712,-0.416680803549,12.994287338961,31.7455,1521982559.96,连续三个交易日内，涨幅偏离值累计达到30%的证券
32,300391,*ST长药,2025-11-20,西藏自治区资金买入，成功率28.96%,2.83,19.9153,1346812.6,20265530.6,18918718.0,39184248.6,196629100,0.684950803314,19.928000789303,21.8037,991451196.96,日涨幅达到15%的前5只证券
33,300560,中富通,2025-11-20,3家机构卖出，成功率20.40%,19.75,-13.7931,-72402348.46,76530994.51,148933342.97,225464337.48,1274446143,-5.681083414758,17.691162448753,33.1974,3692554503.75,日换手率达到30%的前5只证券
34,300589,江龙船艇,2025-11-20,3家机构买入，成功率44.58%,19.58,2.0855,-50743887.5,270281338.91,321025226.41,591306565.32,2472969574,-2.051941440506,23.910790150304,55.3267,4534863376.12,日换手率达到30%的前5只证券
35,300774,倍杰特,2025-11-20,1家机构买入，成功率43.43%,20.8,20.0231,134107112.54,212660194.54,78553082.0,291213276.54,606028622,22.128841389937,48.052726549275,15.5454,4053513380.8,日涨幅达到15%的前5只证券
36,300814,中富电路,2025-11-20,2家机构买入，成功率49.19%,75.78,20.0,125935175.36,324006656.87,198071481.51,522078138.38,1464126275,8.601387565427,35.657999401725,10.7045,14506575402.96,日涨幅达到15%的前5只证券
37,301092,争光股份,2025-11-20,普通席位买入，成功率55.40%,41.02,20.0117,30157031.05,82845104.0,52688072.95,135533176.95,461631054,6.532712820919,29.359631631281,19.1693,2489445715.68,日涨幅达到15%的前5只证券
38,301172,君逸数码,2025-11-20,上海资金买入，成功率55.27%,25.94,14.2731,123689852.77,203579365.45,79889512.68,283468878.13,923943159,13.387171230736,30.680337352874,35.775,2561992115.2,日换手率达到30%的前5只证券
39,301256,华融化学,2025-11-20,4家机构买入，成功率27.42%,14.64,6.5502,17288734.48,253374438.32,236085703.84,489460142.16,2145640498,0.805761006847,22.811843019193,16.0714,7027200000.0,连续三个交易日内，涨幅偏离值累计达到30%的证券
40,600280,中央商场,2025-11-20,普通席位卖出，成功率36.69%,3.9,-9.5128,-48892961.77,64486040.56,113379002.33,177865042.89,960811669,-5.088714401324,18.511956986859,20.6974,4400505673.2,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
41,600343,航天动力,2025-11-20,普通席位买入，成功率56.11%,17.91,10.0123,43517120.74,132836540.63,89319419.89,222155960.52,759943700,5.726361142279,29.23321300249,6.7828,11430275692.68,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
42,600403,大有能源,2025-11-20,卖一主卖，成功率36.00%,8.31,-9.9675,-33653498.45,373638078.92,407291577.37,780929656.29,4327801401,-0.777611894165,18.044489197438,4.6362,19867651060.62,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
43,600403,大有能源,2025-11-20,卖一主卖，成功率35.67%,8.31,-9.9675,-5663296.11999999,93408301.84,99071597.96,192479899.8,951849553,-0.594978072128,20.22167255249,4.6362,19867651060.62,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
44,600408,安泰集团,2025-11-20,西藏自治区资金卖出，成功率41.16%,5.07,-9.6257,-13916961.99,341225422.74,355142384.73,696367807.47,4209285245,-0.330625300496,16.543611728314,23.755,5104476000.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
45,600410,华胜天成,2025-11-20,买一主买，成功率47.98%,22.32,2.9995,-15692853.1600001,765060227.81,780753080.97,1545813308.78,9593192726,-0.16358321581,16.113648009911,39.2317,24473761324.56,有价格涨跌幅限制的日换手率达到20%的前五只证券
46,600467,好当家,2025-11-20,卖一主卖，成功率44.10%,2.82,-6.3123,-119149564.31,57951263.69,177100828.0,235052091.69,1091768402,-10.913446852989,21.529482925079,24.5078,4120003937.28,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
47,600693,东百集团,2025-11-20,普通席位卖出，成功率40.71%,8.68,-8.4388,-33659172.18,234533556.34,268192728.52,502726284.86,3296379230,-1.021095263363,15.250863137492,17.2505,7542510147.76,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
48,600756,浪潮软件,2025-11-20,卖一主卖，成功率35.09%,22.5,-5.5812,176341711.23,367682318.55,191340607.32,559022925.87,3640637896,4.843703665881,15.355081769714,45.726,7292221942.5,有价格涨跌幅限制的日换手率达到20%的前五只证券
49,600756,浪潮软件,2025-11-20,卖一主卖，成功率35.09%,22.5,-5.5812,176341711.23,367682318.55,191340607.32,559022925.87,3640637896,4.843703665881,15.355081769714,45.726,7292221942.5,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
50,600829,人民同泰,2025-11-20,西藏自治区资金卖出，成功率30.70%,14.36,-9.9687,-7274788.0,64028548.0,71303336.0,135331884.0,809411770,-0.898774674354,16.719782070874,9.6181,8327200252.92,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
51,600881,亚泰集团,2025-11-20,普通席位买入，成功率50.20%,2.18,10.101,86417295.0,135750731.0,49333436.0,185084167.0,461655180,18.719013398702,40.091430794733,6.6566,7046089153.84,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
52,600996,贵广网络,2025-11-20,买一主买，成功率64.80%,10.52,10.0418,58005072.76,118779476.76,60774404.0,179553880.76,482174137,12.029901296842,37.238388993062,3.8962,13116334464.08,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
53,601279,英利汽车,2025-11-20,普通席位买入，成功率45.86%,5.78,10.0952,68939610.34,135842109.9,66902499.56,202744609.46,480852489,14.33695611795,42.163577000846,2.4984,9165842993.3,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
54,601279,英利汽车,2025-11-20,买一主买，成功率46.21%,5.78,10.0952,56232824.14,117034460.9,60801636.76,177836097.66,228785197,24.578873492414,77.730596206362,2.4984,9165842993.3,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
55,601566,九牧王,2025-11-20,普通席位买入，成功率57.28%,18.41,9.9761,-20295113.76,166190691.24,186485805.0,352676496.24,1655178333,-1.226158738026,21.30746211502,16.697,10579069931.5,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
56,601566,九牧王,2025-11-20,2家机构买入，成功率26.26%,18.41,9.9761,0.0,4809171200.0,4809171200.0,9618342400.0,4809171200,0.0,200.0,16.697,10579069931.5,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券
57,603092,德力佳,2025-11-20,1家机构买入，成功率45.59%,75.27,8.5364,40719184.75,147478439.2,106759254.45,254237693.65,918417326,4.433625498698,27.682153466909,37.0055,2517966664.2,有价格涨跌幅限制的日换手率达到20%的前五只证券
58,603092,德力佳,2025-11-20,1家机构买入，成功率44.06%,75.27,8.5364,274812711.8,455459751.76,180647039.96,636106791.72,2115399260,12.991056440097,30.070294707393,37.0055,2517966664.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
59,603216,梦天家居,2025-11-20,普通席位买入，成功率30.51%,19.0,10.0174,31246346.0,41455187.0,10208841.0,51664028.0,49961709,62.540586832208,103.407247338157,0.2722,4231110000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
60,603216,梦天家居,2025-11-20,买一主买，成功率25.45%,19.0,10.0174,8703235.0,11515235.0,2812000.0,14327235.0,11515235,75.580177043716,124.419822956284,0.2722,4231110000.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
61,603686,福龙马,2025-11-20,西藏自治区资金买入，成功率37.34%,27.79,4.4737,-45813957.68,186828874.66,232642832.34,419471707.0,3009096809,-1.52251524587,13.940120030216,26.8179,11544810927.16,有价格涨跌幅限制的日换手率达到20%的前五只证券
62,603778,国晟科技,2025-11-20,卖一主卖，成功率45.90%,8.07,-10.0334,-20788432.74,93750527.5,114538960.24,208289487.74,1566607430,-1.32697141236,13.295576399762,28.4695,5187857135.94,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
63,603778,国晟科技,2025-11-20,卖一主卖，成功率45.90%,8.07,-10.0334,-20788432.74,93750527.5,114538960.24,208289487.74,1566607430,-1.32697141236,13.295576399762,28.4695,5187857135.94,有价格涨跌幅限制的日换手率达到20%的前五只证券
64,603813,*ST原尚,2025-11-20,普通席位买入，成功率47.01%,40.28,5.0052,-9360350.65,34261857.35,43622208.0,77884065.35,313133637,-2.989251087707,24.872468539686,1.7278,4230004200.0,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
65,603822,嘉澳环保,2025-11-20,2家机构卖出，成功率44.76%,90.65,-9.998,-44317590.8,81802734.2,126120325.0,207923059.2,473903358,-9.351609363359,43.874569717651,6.5553,6964266565.9,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
66,605136,丽人丽妆,2025-11-20,卖一主卖，成功率35.45%,10.93,-9.9671,-59580819.46,53022183.4,112603002.86,165625186.26,868239947,-6.862252729314,19.075969359885,18.716,4377011405.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
67,605339,南侨食品,2025-11-20,普通席位卖出，成功率39.58%,19.05,-9.372,-48593644.9,24554988.56,73148633.46,97703622.02,350209499,-13.875593048948,27.898621339223,4.1356,8082736234.8,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
68,920160,北矿检测,2025-11-20,西藏自治区资金卖出，成功率31.56%,25.75,-6.0904,746849.440000001,31758150.26,31011300.82,62769451.08,240610000,0.310398337559,26.087631885624,35.9093,656316000.0,当日换手率达到20%的前5只股票
69,920826,盖世食品,2025-11-20,1家机构卖出，成功率26.40%,13.59,-9.0361,-1264690.6,33968750.05,35233440.65,69202190.7,231547000,-0.546191745088,29.886887197848,26.3698,849028088.07,当日换手率达到20%的前5只股票
