"",股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
172,002115,三维通信,4.09,11.45,11.96,10.6,11.17,0.45,43.17,1.21,1774.25,3247275,3714781811.85,11.0,9285850751,8612638841,0.002115,深A,2025-09-03 15:34:30,2025-09-03
1850,838670,恒进感应,-1.41,24.44,28.99,24.44,26.88,-0.35,37.28,3.65,214.41,246050,656414099.94,24.79,3274960000,1613110876,0.838670,深A,2025-09-03 15:38:44,2025-09-03
1991,603014,威高血净,-1.55,42.0,44.58,41.8,42.67,-0.66,34.24,1.86,39.23,130508,559031921.0,42.66,17278550772,1600728654,1.603014,沪A,2025-09-03 16:11:37,2025-09-03
4316,300139,晓程科技,-3.46,22.05,23.95,21.83,23.88,-0.79,33.97,1.3,71.16,793822,1812037266.76,22.84,6041700000,5152185911,0.300139,深A,2025-09-03 15:34:15,2025-09-03
67,301658,首航新能,7.36,35.9,36.74,33.32,33.32,2.46,33.15,2.88,81.14,128393,450467954.39,33.44,14804123747,1390335523,0.301658,深A,2025-09-03 15:34:15,2025-09-03
5313,873223,荣亿精密,-7.45,26.2,31.0,26.06,28.32,-2.11,32.76,1.07,-394.43,267287,770699229.81,28.31,4120867000,2137494250,0.873223,深A,2025-09-03 15:38:44,2025-09-03
4506,002248,华东数控,-3.71,10.89,11.85,10.8,11.31,-0.42,32.17,3.79,123.24,989214,1123682906.95,11.31,3348627084,3348627084,0.002248,深A,2025-09-03 15:34:15,2025-09-03
5360,600410,华胜天成,-9.09,21.7,24.2,21.48,24.19,-2.17,29.62,0.79,85.11,3248056,7353457582.0,23.87,23793934621,23793934621,1.600410,沪A,2025-09-03 16:11:52,2025-09-03
5191,603626,科森科技,-5.89,16.79,18.19,16.06,17.84,-1.05,29.47,0.99,-44.27,1635098,2820989332.0,17.84,9316429995,9316429995,1.603626,沪A,2025-09-03 16:11:57,2025-09-03
264,603032,德新科技,2.89,25.6,27.37,24.84,27.3,0.72,29.18,4.54,133.73,676099,1769203717.0,24.88,5977975808,5930573824,1.603032,沪A,2025-09-03 16:11:34,2025-09-03
139,833346,威贸电子,4.76,32.77,38.5,31.74,35.04,1.49,27.90,4.09,54.09,124490,440694160.53,31.28,2643805050,1462319239,0.833346,深A,2025-09-03 15:38:44,2025-09-03
5113,002846,英联股份,-5.31,19.08,20.47,18.7,19.8,-1.07,27.17,2.42,159.14,698241,1349728664.43,20.15,8013478575,4903905272,0.002846,深A,2025-09-03 15:34:09,2025-09-03
4401,603382,海阳科技,-3.54,39.49,40.63,38.25,40.63,-1.45,26.98,0.54,45.39,95837,375003998.0,40.94,7157616522,1402718761,1.603382,沪A,2025-09-03 16:11:48,2025-09-03
118,600246,万通发展,5.19,14.99,15.45,14.08,14.77,0.74,26.17,1.1,-505.28,4947127,7356847944.0,14.25,28337283015,28337283015,1.600246,沪A,2025-09-03 16:11:47,2025-09-03
38,603163,圣晖集成,10.0,44.77,44.77,39.54,40.5,4.07,26.11,1.37,35.84,91407,401040358.0,40.7,4477000000,1567073118,1.603163,沪A,2025-09-03 16:11:56,2025-09-03
5350,002104,恒宝股份,-8.55,23.73,25.59,23.58,25.01,-2.22,24.77,0.81,237.72,1485161,3640438097.15,25.95,16808437254,14230406495,0.002104,深A,2025-09-03 15:34:18,2025-09-03
213,300786,国林科技,3.4,16.73,17.2,15.9,16.13,0.55,24.49,3.46,-155.77,359170,595447764.5,16.18,3078585656,2453361548,0.300786,深A,2025-09-03 15:34:18,2025-09-03
384,830779,武汉蓝电,1.85,46.2,48.18,44.0,45.33,0.84,24.24,1.57,62.52,48554,227399105.64,45.36,3699452064,925533932,0.830779,深A,2025-09-03 15:38:44,2025-09-03
539,600592,龙溪股份,0.97,29.28,31.49,28.89,30.88,0.28,23.99,1.91,90.32,958629,2893527715.0,29.0,11698928559,11698928559,1.600592,沪A,2025-09-03 16:11:56,2025-09-03
4458,301362,民爆光电,-3.63,48.52,54.58,47.98,50.06,-1.83,23.83,1.51,23.71,70713,361292959.82,50.35,5078588400,1439588400,0.301362,深A,2025-09-03 15:34:09,2025-09-03
303,002165,红 宝 丽,2.52,10.19,10.5,9.38,9.94,0.25,23.75,1.06,153.6,1728127,1736281967.29,9.94,7492399639,7414544564,0.002165,深A,2025-09-03 15:34:54,2025-09-03
54,300409,道氏技术,9.74,23.22,24.38,21.62,22.25,2.06,23.27,1.99,39.42,1599913,3677168421.91,21.16,18163820689,15963509487,0.300409,深A,2025-09-03 15:34:09,2025-09-03
2631,300945,曼卡龙,-2.05,22.0,24.57,21.48,22.3,-0.46,22.95,2.01,37.59,547045,1250654466.54,22.46,5765575838,5244814234,0.300945,深A,2025-09-03 15:34:06,2025-09-03
82,300035,中科电气,6.21,21.9,22.2,20.38,20.8,1.28,22.70,1.45,27.56,1324359,2855224319.74,20.62,15010844095,12775324047,0.300035,深A,2025-09-03 15:34:33,2025-09-03
551,301161,唯万密封,0.92,34.93,35.9,33.53,34.4,0.32,22.30,1.63,43.64,118916,414959978.62,34.61,4191600000,1862747040,0.301161,深A,2025-09-03 15:34:51,2025-09-03
227,920056,能之光,3.23,30.38,31.8,29.45,29.45,0.95,22.14,1.11,40.88,67826,207457439.63,29.43,2414441386,930556717,0.920056,深A,2025-09-03 15:38:44,2025-09-03
